,mid,sex,level,official,fans,liveCount,video_num,attracitve
0,484322035,2,6,1,1047366,31,380.0,90.98513013884414
1,32906095,2,6,0,84111,7,59.0,16.900323787745858
2,1480838,2,6,0,46510,15,26.0,11.51786081595494
3,508963009,2,6,1,1118283,37,144.0,42.02902305971956
4,1442771,2,6,1,86717,103,120.0,50.85293118851885
5,668479385,2,6,0,98785,41,188.0,51.77960585860247
6,423902976,0,6,1,97263,117,190.0,68.47826126322454
7,692437895,0,6,1,48875,107,65.0,39.579350215890436
8,434662713,0,6,1,119922,54,415.0,102.76388411837381
9,47441,0,6,1,338275,127,344.0,103.63847378242289
10,97340936,0,6,1,74959,69,197.0,59.51392918303264
11,512480,1,6,1,537692,62,252.0,70.17745121885984
12,3032688,2,6,1,110045,81,310.0,86.58490534245635
13,317000,2,6,1,107984,85,116.0,46.12805049039446
14,1869304,2,6,1,147836,69,275.0,76.5704826833651
15,386900246,0,6,1,2032235,3,149.0,35.466221656320585
16,410741448,2,6,0,33938,40,439.0,104.86427588203944
17,1473830,2,6,1,1878235,4,1734.0,373.61632230267037
18,296909317,2,6,1,305570,1,521.0,114.3221200587514
19,434563934,2,6,1,409483,2,915.0,198.50532025077317
20,372984197,0,6,1,249400,52,341.0,86.67844881014643
21,23155481,0,6,1,56251,190,238.0,94.46057444375064
22,434334701,0,6,1,973600,97,459.0,121.78310212891897
23,353361863,2,6,1,346062,72,202.0,61.80091035753952
24,244069,1,6,1,58822,58,92.0,34.89532295324908
25,3821157,2,6,1,184098,113,149.0,59.313606749028665
26,27564630,0,6,1,79880,114,186.0,66.94553039891699
27,434401868,2,6,1,103337,76,290.0,81.23040836642623
28,610390,2,6,1,137381,92,291.0,84.95840751839
29,406805563,0,6,1,322256,35,562.0,130.10114833249662
30,225347042,2,6,1,315136,55,218.0,61.50577469517026
31,441952268,2,6,1,172522,108,316.0,93.78980028657655
32,601481495,2,6,1,44622,63,67.0,30.78360332577963
33,12450452,0,6,1,100623,86,48.0,31.510389556950788
34,11137181,2,6,1,41735,81,118.0,45.54250340302701
35,666726803,2,6,0,53306,5,46.0,13.628454430300401
36,523922454,2,6,1,79964,127,227.0,78.83968910366872
37,491979247,0,6,1,185335,69,92.0,37.285617961876824
38,738406,2,6,0,38971,3,92.0,22.945156531874
39,128912828,2,6,1,72948,81,21.0,24.965822822768043
40,2650919,2,6,1,287921,57,79.0,32.31913665380601
41,623441609,2,6,1,117055,16,141.0,36.49223027750796
42,632960,2,6,1,245410,69,48.0,28.296013519593966
43,1506609,1,6,1,233955,2,24.0,8.46779549429126
44,666726801,0,6,1,297504,43,193.0,53.2280806253376
45,480248442,0,6,1,86082,72,106.0,40.802821397008294
46,558070433,0,6,1,105509,75,197.0,60.867549281983806
47,688053738,2,6,0,44573,79,290.0,81.63143741960228
48,2299184,0,6,1,232512,58,475.0,116.5118612644527
49,487902,0,6,1,104269,39,51.0,21.955764135964962
50,617459493,2,6,1,718474,84,108.0,44.49321760439937
