,mid,bigfan_num,bigfan_total
0,178464220,20,1106057
1,484322035,20,29461166
2,510100897,20,5016304
3,446536,20,1609297
4,32906095,20,4890315
5,8718389,20,820020
6,17977334,1,9927
7,2592429,13,1260207
8,521070071,20,1868639
9,508191,20,3842066
10,171272634,20,1654453
11,222288454,20,2955705
12,396001169,20,1367523
13,12272233,0,0
14,406987,20,2273135
15,793061,14,464894
16,41806,1,10113
17,434319922,20,1390926
18,687304,16,2690998
19,1480838,20,5204209
20,5023410,20,3836099
21,4365322,9,391993
22,51269394,3,175876
23,508963009,20,28109259
24,3221223,3,31552
25,19872419,4,524732
26,166617,20,1615907
27,1316965,14,359917
28,2115078,20,2749842
29,345819190,20,6645962
30,1442771,20,14489919
31,600985,20,16204186
32,668479385,20,3634230
33,49464709,20,1930626
34,57260085,10,332622
35,423902976,20,5260931
36,238537745,20,8794755
37,692437895,20,1792256
38,427623918,17,686934
39,153373112,4,91854
40,410484677,20,16128712
41,493539,7,362132
42,475348474,1,20933
43,434662713,20,5951286
44,345648420,20,2755025
45,18149131,20,30399345
46,454673997,20,3364176
47,3663671,2,39307
48,562037265,20,1920181
49,300312007,20,2027303
50,15810,20,24236105
51,15811099,20,3820398
52,824087,20,3690464
53,1998929,20,4522850
54,3287291,20,2112096
55,2304086,9,1059300
56,516543529,3,140983
57,47441,20,13827896
58,97340936,20,7156468
59,12065970,2,42538
60,16965625,10,229754
61,130016056,2,24253
62,8084810,1,13420
63,14397053,9,623182
64,181559741,20,2444673
65,1996131,20,3582363
66,7380366,16,1062724
67,3234445,20,1157234
68,174919184,20,647656
69,413748120,20,14827154
70,652203744,20,1667767
71,5696525,7,151383
72,559908566,17,912790
73,512480,20,19865287
74,325325965,20,5926706
75,1753451,20,1132276
76,7498906,10,341012
77,3032688,20,4780966
78,1592759,2,485621
79,2284443,11,514915
80,317000,20,9015678
81,472712134,20,4233011
82,7805371,10,600604
83,12127504,20,597985
84,411861391,20,2363200
85,351007,20,17728922
86,580482351,20,5021406
87,17683304,16,668921
88,1764912,20,2475071
89,10196457,1,51278
90,1869304,20,6855002
91,5398196,20,3598674
92,88687,20,2173419
93,12367735,11,368394
94,386900246,20,18083558
95,2601367,20,9989048
96,1782710,3,111436
97,385501313,20,4664095
98,441666968,20,12347432
99,410741448,20,2616901
100,441606900,20,2815236
101,10077023,20,1178442
102,452100632,20,5262643
103,12485637,20,5359130
104,1473830,20,29563993
105,477780496,20,13211113
106,278093107,20,7299588
107,20381746,20,2551706
108,550611,20,1379580
109,1576121,20,16635482
110,391614061,20,2790674
111,296909317,20,12846072
112,434563934,20,14258887
113,28821597,3,212747
114,372984197,20,11658408
115,1809637,20,2267817
116,412180051,20,3517063
117,504473,7,525337
118,488978908,20,7542582
119,12752343,20,1455961
120,10255309,14,719090
121,471723540,20,26882659
122,23155481,20,3510750
123,106348951,1,17853
124,517060084,20,3881359
125,402370331,7,153332
126,1548911,6,90232
127,10053157,11,298604
128,434334701,20,30277323
129,4280541,7,265653
